순번,개봉연도,영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
471,2017,간츠: 오,사토 케이이치,,(주)미디어캐슬,(주)미디어캐슬,2017-05-11,일본,47,12687500,1625,애니메이션,청소년관람불가,일반영화
474,2017,"나의 딸, 나의 누나",토마스 비더게인,,판씨네마(주),판씨네마(주),2017-03-23,프랑스,34,11449000,1511,드라마,15세이상관람가,독립/예술영화
475,2017,루팡 3세: 칼리오스트로의 성,미야자키 하야오,,(주)에이원엔터테인먼트,(주)에이원엔터테인먼트,2017-05-25,일본,57,11288000,1503,애니메이션,12세이상관람가,독립/예술영화
480,2017,브레인 온 파이어,제라드 배렛,,(주)도키엔터테인먼트,와이드 릴리즈(주),2017-12-07,영국,36,10660000,1392,드라마,12세이상관람가,독립/예술영화
484,2017,공각기동대 신극장판,노무라 카즈야,,(주)파노라마엔터테인먼트,"(주)레인메이커필름,(주)모멘텀엔터테인먼트",2017-04-20,일본,33,10383500,1376,애니메이션,15세이상관람가,일반영화
485,2017,딥씨 챌린지,"존 브루노,앤드류 와이트",,(주)영화사오원,(주)영화사오원,2017-11-30,미국,38,9903600,1369,다큐멘터리,전체관람가,독립/예술영화
498,2017,시티 워: 익스트림 킬러,크리스찬 세스마,,(주)수키픽쳐스,노바엔터테인먼트,2017-02-28,미국,50,5534000,1097,액션,청소년관람불가,일반영화
504,2017,고향이 어디세요,정수웅,다큐서울,,(주)드림팩트엔터테인먼트,2017-11-09,한국,41,7014900,1018,다큐멘터리,12세이상관람가,독립/예술영화
508,2017,용의 치과의사,츠루마키 카즈야,,(주)에스에스애니멘트,"(주)삼지애니메이션,(주)에이원엔터테인먼트",2017-10-19,일본,33,7433000,968,애니메이션,15세이상관람가,독립/예술영화
512,2017,암살교실: 졸업편,하스미 에이이치로,,(주)에이원엔터테인먼트,(주)에이원엔터테인먼트,2017-04-21,일본,46,6699500,874,액션,12세이상관람가,일반영화
514,2017,불곰영웅 밤세: 도둑들의 도시,크리스티앙 릴테니우스,,(주)일레븐엔터테인먼트,(주)일레븐엔터테인먼트,2017-04-06,스웨덴,46,6738000,860,애니메이션,전체관람가,독립/예술영화
524,2017,파크,세타 나츠키,,(주)영화공간,와이드 릴리즈(주),2017-11-09,일본,31,5120400,679,드라마,전체관람가,독립/예술영화
540,2017,원스텝,전재홍,(주)엠씨씨엔터테인먼트,,(주)드림팩트엔터테인먼트,2017-04-06,한국,33,3330000,453,드라마,12세이상관람가,독립/예술영화
