순번,순서,영화이름,관람객평점,댓글
51,26,형,4.5,"전야개봉 예매해 다녀왔습니다.겨울에 따숩게 보기좋은영화예요.조정석,도경수배우캐미가 기대이상으로 대단하네요.씨익웃음도나고 뜨건눈물.여운도 남고.배우들 연기보는맛도 훌륭합니다.워낙다양하고 유니크해진영화판에 전 이런 우직..."
51,27,형,5.0,조아요 조아요조아요 조아요조아요
51,28,형,5.0,간만에 감동과 웃음을 주는영화네요 좋습니다
51,29,형,4.5,전형적인 한국영화네요 조정석이 열일함 ㅎㅎ
51,30,형,5.0,배우분들 연기 다 너무 좋고... 진짜 진짜 재밌습니다! 또 보러 갈 예정ㅎㅎ
51,31,형,5.0,이 영화는 진짜 감동도 있고 재미도 있고 배우가 캐릭터에 딱 맞게 잘 연기 한거 같아요 ㅠㅠㅠ 진짜 이건 안보면 후회할 영화라고 생각해요 펑펑울고 나왔네요 진짜 진짜 꼭 보세요!!!!
51,32,형,3.0,조정석연기는 좋으나 납뜩이가 떠오르고 도경수는 의외로연기가좋았음 시나리오는 진부
51,33,형,5.0,조정석 하드캐리 ㅋㅋ 유쾌하게 잘 봤네요
51,34,형,4.0,설정은 진부하나 연기력으로 커버되는 느낌!
51,35,형,4.5,두 배우의  연기가 좋았습니다
51,36,형,5.0,배우들의 연기도 매우 좋았고 영화도 웃음포인트가많아 많이 웃었습니다 조금 뻔한 내용일수도있지만 감동도 있었고요. 저는 오랜만에 좋은영화 한편본거같아서 기분이 좋네요. 같이간 친구들도 다 재밌게 봤습니다
51,37,형,5.0,재밌고 너무 감동적이였어여 저희엄마 마지막에 너무 눈물빼셨어요 마지막이 너무 감동적이었다고
51,38,형,4.0,재밌습니다ㅎ098765
51,39,형,5.0,조정석과 디오의 캐미가 독보입니다.
51,40,형,5.0,여자친구와 둘이 질질짯습니다 ㅜㅜ 박신혜보가 예뿝니다
51,41,형,5.0,너무재밌다 계속웃다가 마지막도달하니 울다가웃다가 계속반복 너무 재밌어서 최고점!!!
51,42,형,5.0,믿고보는 조정석 웃느라정신없었는데 마지막감동은 보너스
51,43,형,3.5,"배우들의 연기는 훌륭했으나 너무 뻔한 스토리와 약간 억지의 웃음코드. 볼만은 하나, 수작은 아니다."
51,44,형,5.0,재미를 생각하고 봤는데 재미도 재미지만 중반부터 눈물이 멈추질 않네요 뻔한 스토리인 것 같은데도 맘을 따뜻하게 해주네요. 웬만해선 안우는데 엄청 눈물흘리고 왔어요. 조정석씨 믿고 본건데 예상못했던 엑소 멤버 그분도 ...
51,45,형,5.0,핵잼웃음과 감동이 있는 영화~ 추천합니다!
51,46,형,3.0,평점보고 보러갔는데의외로 기대이하였어요~조정석 욕이 너무 거슬렸고ㅜㅜ너무 감동을 쥐어짜는 느낌이랄까 그저그냥 볼만은 했어요
51,47,형,1.5,"뻔한스토리, 연기력은 최고"
51,48,형,0.5,"이게 왜 평점이 높은지 이해가 안감,. 뻔한 스토리에  억지 눈물 쥐어짜내기"
51,49,형,1.5,예상되는 전개였지만 여전히 역경을 극복하는 모습은 언제봐도 훈훈 하다 조금 억지스럽긴 하지만...
51,50,형,2.5,클로징 너무 어이없다ㅋㅋ
51,51,형,5.0,형 동생 간에 우애 말안해도 형은 형이고 동생은 동생 형제
51,52,형,5.0,재미 감동 강추예요 ㅎㄹ
51,53,형,5.0,가족들이 다같이 봐도 좋을만큼 괜찮은 영화에요~  갓정석은 말할것도 없고 도경수 연기잘해서 놀라면서 봤어요 조배우가 경수칭찬 엄청하더니공치사가 아니었네요 ㅋ  갠적으로 잼있게 봐서 글 남깁니다 형 꼭 보세요
51,54,형,5.0,여자친구랑 같이 울어버렸네요 ㅎㅎㅎㅎ
51,55,형,5.0,감동의도가니ㅜㅜ끝에넘슬펐어요
51,56,형,1.5,하..넘나별로인것..ㅜㅜ
51,57,형,2.5,진부한 스토리..조정석이 그나마 살렸다
51,58,형,2.5,개인적으로 별로였음. 조정석의 연기는 좋았으나 대사가 너무 유치했음. 눈물도 억지로 짜내려하고
51,59,형,0.5,너무 뻔한 내용.. 뻔한 대사.. 조정석이 다했다.
51,60,형,4.0,도경수 연기 짱 잘해ㅠㅠㅠ
51,61,형,5.0,조정석믿고보는배우라봤는데역시재밌고감동이네요
51,62,형,5.0,재밌다고 얘기만듣고 봤는데 기대이상으로 재밌게 너무  잘봤네요!브로맨스의 케미란 ㅋㅋㅋㅋ
51,63,형,2.5,신파극 잘봤습니다 형이연기가좋아서 맥살잡고 캐리했네요
51,64,형,1.5,조정석은 잘하지만스토리가  억지어거지
51,65,형,0.5,하 억지 감동.. 너무 뻔한 스토리.. 돈 아까웠음
51,66,형,2.5,배우들의 연기력이 아니였다면 폭망했을것 같다.
51,67,형,5.0,연기잘해요 잼따요 ㅋㅋ
51,68,형,4.5,소개팅녀랑 봤어요. 잘 되게 해주세요.
51,69,형,4.5,배우들연기가 푹 빠져들게 하더군요 아들과 너무 재미나게 봤습니다 여운도 남고 감동도 있어서 가족 영화로 추천하고 싶습니다
51,70,형,3.5,울다 웃다 했어요. 3명 다 좋아하는 배우들이라 기분좋게 봤고 멘솔 청년 정말 웃겨요. 조정석님 욕 대사 찰지고 재밌고 많이배웠습니다(...).착한 사람들이 나오는 착한 영화
51,71,형,3.0,"질투의 화신이 이 영화보다 100배 더 재밌다. 시나리오와 연출 BGM 모두 드라마보다 못하다.  작품은 배우 혼자 하는 게 아니라는 걸 다시한번 느꼈다. 뻔한 시나리오, 아쉬운 연출력, 올드한 BGM, 조정석님 보..."
51,72,형,2.5,약간 너무 구식 신파예요
51,73,형,3.5,딱  한국  영화예요  더도말고  덜도말고  ㅎㅎ그냥 뭐  잘생겼어요  ㅋㅋㅋ
51,74,형,4.0,"보는 내내 입가에 미소 짓게 하고, 가슴 뜨겁고 주르르 눈물 흘리게 만드는 영화네요^^ 과하지 않게 웃게 만들고, 울게 만드는 두분 주연배우의 연기 짱입니다!!!!"
51,75,형,5.0,코미디인줄 알고갔다가 펑펑 울고왔습니다ㅠㅠㅠ 웃다울다ㅠㅠㅠ 재밌었어요ㅠㅠㅠ
51,76,형,5.0,감동적이고 웃기고 꼭보세요~!!
51,77,형,4.5,재밌다 울뻔했다 정말로
51,78,형,5.0,배우분들 연기 다 너무 좋고... 진짜 진짜 재밌습니다! 또 보러 갈 예정ㅎㅎ
51,79,형,4.5,웃음과 감동이 함께 잇는 영화였어용!!
51,80,형,5.0,재미도 감동도 있고 가볍게 보기 좋다
51,81,형,5.0,다들 연기 잘하고 너무 재밌게 잘 봤습니다-!
51,82,형,4.0,그냥 보세요 후회안할듯바람이차서 추운데 햇살비춰 기분좋은 오늘 날씨같은 그런느낌 잔잔해서 좋다 오버스럽지않은 조정석 진실해보이는 도경수 두분 다 진짜 잘하네~~~
51,83,형,5.0,"웃기고 감동적인 영화 조정석, 도경수 연기 정말 잘함또 볼껍니다...."
51,84,형,4.5,두 형제가 '가족'으로 거듭나 사랑으로 보듬는 따뜻한 이야기. 빵빵 터지는 코미디보다는 잔잔한 감동이 있는 영화. 마지막 노래와 에필로그가 너무 신파로 빠지지 않게 적절히 마무리. 두 형제의 브로케미와...
51,85,형,4.5,생각못하구봤는데 재밋게봤어요 슬프기도하구 남친이랑 보다 울었네요 ㅜㅎ
51,86,형,5.0,다시보고싶어요ㅠㅠㅠㅠ지금도 생각하니까 눈물이나네요ㅠㅠ너무 웃기면서 가슴아픈영화ㅠㅠㅠ
51,87,형,0.5,영화를 보다 우는 바람에 놀림받았습니다
51,88,형,4.0,조정석 연기정말좋음 자연스러움으로 탑일듯. 도경수 생활연기잘함 웃는게 안어색해서 좋았음.박신혜 연기못하진않는데 나 연기해요의 표본 배우마다 특유의 쪼가 있는데 이 배우는 그게 너무 거슬림감독 영화 왜 만드냐 존나 ...
51,89,형,1.5,관람객 평점 보니 엑소팬들만 봤는가보다... 평점보고 기대는 하지마세요
51,90,형,4.0,예상 가능한 스토리지만 그래도 재밌었다.
51,91,형,3.5,약간 억지 감동 주는 느낌 뻔한느낌그래도 배우들이 연기를 잘해서 볼만했어요
51,92,형,3.5,"뻔한 결말, 억지 슬픔을 유도 하는 전형적인 한국 영화!하지만 주인공들의 연기도 좋았고 캐릭터에 잘 녹아 들었어요. 시간 나시면 한번 보는 것도 괜찮아요.끝날때쯤엔 우는 분들도 있더군요. 어딘가 모르게 먹먹해짐은 있..."
51,93,형,5.0,ㅠㅠ슬펐어요 그래도 재미와 감동 짱
51,94,형,5.0,재밌어요..조정석이랑 경수 진짜 최고ㅠㅡㅠ
51,95,형,5.0,진짜 잘만들었음 엄니랑 같이 봤는데 너무 좋았음 가족들과 같이보면 좋은 영화임
51,96,형,5.0,슬퍼요 쪽팔리게여친앞에서 울뻔했어요
51,97,형,5.0,감동입니다조정석 엄청 웃김 ㅋㅋ
51,98,형,5.0,재미와 감동이 섞인영화! 편히볼수잇어요!
51,99,형,5.0,기대이상이예요! 완전 재밋어요ㅎㅎ
51,100,형,4.5,기다리던 영화가나와서  좋았어요
149,1,내안의 그놈,4.0,박성웅 너무 귀여워 세상귀여워ㅜㅜㅜㅜ정진영 새삼 잘생겼다 느낌 연기도 넘 잘해..재밌었어요 짱짱
149,2,내안의 그놈,3.5,빅웃음은 안터졌는데 진영이 연기를 잘하고 가볍게 보기 좋음 돈아깝단 생각은 안들었음 고구마나 그런게 없으니까 킬링타임용으로 좋은듯
149,3,내안의 그놈,5.0,진영이 매우 잘생긴 영화
149,4,내안의 그놈,5.0,진영 연기 잘하네요~ 다른 배우님들 연기는 말할 것도 없이 영화 시작부터 푹 빠져서 봤습니다!! 가벼운 킬링타임 영화지만 너무 재밌네요 꼭 보세요!!
149,5,내안의 그놈,5.0,제발 누가 진영에 대해서 좀 알려줘여 자꾸 생각나 미치겠어 현망이다
149,6,내안의 그놈,4.5,너무 웃겼고 진영 진짜 잘생겼더라 그리고 이 영화는 좀 분위기 잡는 부분에서도 웃김ㅋㅋ
149,7,내안의 그놈,5.0,엄마랑 같이 보러 갔는데 엄마가 진영한테 빠지셔서 사진을 다운받으시네요 ㅋㅋ 너무 웃기게 잘 보고 왔습니다~!
149,8,내안의 그놈,4.0,넘 재밌게 봤어요 가볍게 보기 좋네요웃다가 살짝 울기도 한..
149,9,내안의 그놈,3.0,요즘 아이돌 연기 잘하네...
