,순번,개봉연도,영화명,감독,배급사,개봉일,국적,전국스크린수,전국매출액,전국관객수,장르,등급,영화구분
249,250,2014,스턱 인 러브,조쉬 분,(주)앤드플러스미디어웍스,2014-02-20,미국,46,105165000,15147,코미디,15세이상관람가,독립/예술영화
250,251,2014,극장판 날아라! 호빵맨 : 바나나섬을 되찾아줘,야노 히로유키,와이드 릴리즈(주),2014-06-19,일본,235,104193000,15382,애니메이션,전체관람가,독립/예술영화
251,252,2014,프로즌 그라운드,스콧 워커,(주)박수엔터테인먼트,2014-02-06,미국,88,103660500,13853,스릴러,청소년관람불가,일반영화
252,253,2014,피막,반종 피산다나쿤,와이드 릴리즈(주),2014-09-25,태국,170,101978400,13484,코미디,12세이상관람가,독립/예술영화
253,254,2014,세이빙 미스터 뱅크스,존 리 행콕,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-04-03,미국,56,100274300,12831,코미디,12세이상관람가,일반영화
254,255,2014,런치박스,리테쉬 바트라,(주)팝엔터테인먼트,2014-04-10,인도,40,99580000,13213,멜로/로맨스,12세이상관람가,독립/예술영화
255,256,2014,"하늘을 나는 강아지, 비포와 친구들",이도 엔젤,(주)팝엔터테인먼트,2014-03-13,이스라엘,142,99524400,14746,애니메이션,전체관람가,일반영화
256,257,2014,황금시대,허안화,판씨네마(주),2014-10-16,중국,58,98582100,13371,드라마,12세이상관람가,독립/예술영화
257,258,2014,봄,조근현,필라멘트픽쳐스,2014-11-20,한국,112,98566100,13234,드라마,청소년관람불가,독립/예술영화
258,259,2014,위험한 패밀리,뤽 베송,(주)프레인글로벌,2014-01-22,미국,130,98410500,17539,코미디,청소년관람불가,독립/예술영화
259,260,2014,할리데이,"맥스 기와,다니아 파스퀴니",(주)영화사 빅,2014-10-16,영국,147,94888000,12859,뮤지컬,15세이상관람가,독립/예술영화
260,261,2014,돈 존,조셉 고든 레빗,(주)미디어데이,2014-01-09,미국,49,94451000,11774,코미디,청소년관람불가,독립/예술영화
261,262,2014,사다코 2,하나부사 츠토무,(주)미디어데이,2014-03-13,일본,100,92668200,12696,공포(호러),15세이상관람가,일반영화
262,263,2014,디태치먼트,토니 케이,(주)프레인글로벌,2014-05-08,미국,41,91678900,12031,드라마,청소년관람불가,독립/예술영화
263,264,2014,중2병이라도 사랑이 하고 싶어! 극장판,이시하라 타츠야,(주)머스트씨무비,2014-02-06,일본,32,90261500,14064,애니메이션,전체관람가,독립/예술영화
264,265,2014,시선,이장호,(주)나이너스엔터테인먼트,2014-04-16,한국,112,90171000,12694,드라마,12세이상관람가,독립/예술영화
265,266,2014,조난자들,노영석,(주)씨제이이엔엠,2014-03-06,한국,46,87965500,11402,미스터리,15세이상관람가,독립/예술영화
266,267,2014,유아 넥스트,아담 윈가드,㈜영화사 백두대간,2014-08-07,미국,78,86743900,10555,공포(호러),청소년관람불가,독립/예술영화
267,268,2014,아바타 정글의 비밀,슈커,(주)팝엔터테인먼트,2014-03-27,중국,162,86145900,12876,애니메이션,전체관람가,일반영화
